fips,county_name,total_population,median_household_income,median_home_value,poverty_rate,lfp_rate,unemployment_rate_acs,bachelors_rate,civilian_labor_force,data_source,data_year
18119,Owen,21361,57947,151400,12.3,60.18,5.22,10.67,10526,Census ACS 2022 5-Year,2022
18121,Parke,16327,63393,121500,15.55,51.55,5.62,8.95,6764,Census ACS 2022 5-Year,2022
18123,Perry,19186,58936,136700,12.11,57.07,5.14,11.28,8925,Census ACS 2022 5-Year,2022
18125,Pike,12227,64182,127000,10.98,58.0,3.62,9.28,5780,Census ACS 2022 5-Year,2022
18127,Porter,173355,82915,242300,9.31,62.13,4.23,18.56,87353,Census ACS 2022 5-Year,2022
18129,Posey,25226,75594,200900,10.01,62.2,2.82,16.86,12668,Census ACS 2022 5-Year,2022
18131,Pulaski,12498,56823,131500,12.76,61.86,3.78,8.84,6223,Census ACS 2022 5-Year,2022
18133,Putnam,36942,70609,175600,8.91,56.22,2.81,12.86,17244,Census ACS 2022 5-Year,2022
18135,Randolph,24586,59674,97600,13.04,60.16,5.63,9.37,11756,Census ACS 2022 5-Year,2022
18137,Ripley,28990,70285,188400,9.62,65.49,3.35,10.66,15141,Census ACS 2022 5-Year,2022
18139,Rush,16716,62386,147200,11.71,60.28,6.26,10.4,8100,Census ACS 2022 5-Year,2022
18143,Scott,24403,49343,137200,15.77,58.53,4.83,7.79,11418,Census ACS 2022 5-Year,2022
18145,Shelby,44940,66449,170000,12.94,63.39,3.3,13.37,22814,Census ACS 2022 5-Year,2022
18147,Spencer,19935,66168,168200,7.21,62.63,3.33,12.38,10126,Census ACS 2022 5-Year,2022
18141,St. Joseph,272388,61877,165700,14.42,63.85,4.81,19.16,137941,Census ACS 2022 5-Year,2022
18149,Starke,23308,59916,145600,13.58,53.73,4.02,8.63,9962,Census ACS 2022 5-Year,2022
18151,Steuben,34507,68837,187500,9.31,63.01,7.07,15.89,17832,Census ACS 2022 5-Year,2022
18153,Sullivan,20791,54556,115200,12.17,54.93,5.04,9.44,9412,Census ACS 2022 5-Year,2022
18155,Switzerland,9896,66525,162000,16.61,58.76,4.41,8.26,4600,Census ACS 2022 5-Year,2022
18157,Tippecanoe,186955,55728,199300,19.15,62.15,3.56,22.15,95328,Census ACS 2022 5-Year,2022
18159,Tipton,15328,71947,150700,12.07,62.22,3.84,17.19,7785,Census ACS 2022 5-Year,2022
18161,Union,7041,68514,149500,6.04,65.4,5.13,14.31,3762,Census ACS 2022 5-Year,2022
18163,Vanderburgh,179900,58839,162800,14.26,64.42,4.68,17.86,93728,Census ACS 2022 5-Year,2022
18165,Vermillion,15488,59567,99400,14.87,58.77,7.45,12.64,7371,Census ACS 2022 5-Year,2022
18167,Vigo,106355,52789,130300,19.95,59.82,6.03,15.14,52192,Census ACS 2022 5-Year,2022
18169,Wabash,31032,66194,135800,10.97,59.25,3.51,13.55,14946,Census ACS 2022 5-Year,2022
18171,Warren,8454,72833,151400,12.55,62.22,3.14,13.6,4206,Census ACS 2022 5-Year,2022
18173,Warrick,64065,91105,215600,6.06,63.87,3.34,20.67,32674,Census ACS 2022 5-Year,2022
18175,Washington,28133,60695,158200,13.11,61.12,4.18,10.39,13746,Census ACS 2022 5-Year,2022
18177,Wayne,66522,54854,119400,16.05,59.9,4.5,11.75,31950,Census ACS 2022 5-Year,2022
18179,Wells,28167,68074,161300,6.37,66.5,2.43,13.63,14720,Census ACS 2022 5-Year,2022
18181,White,24630,65345,153200,8.69,60.73,4.42,12.54,11864,Census ACS 2022 5-Year,2022
18183,Whitley,34259,73636,189800,9.14,65.44,4.03,16.72,17896,Census ACS 2022 5-Year,2022
