data_year,victim_id,offender_id,relationship_id,nibrs_victim_offender_id
2024,232072206,236920051,9,
2024,232072207,236920051,9,
2024,206957195,211884811,21,
2024,208782377,213696455,9,
2024,206957181,211884801,1,
2024,206957182,211884801,1,
2024,206957183,211884801,1,
2024,208782310,213696388,9,
2024,208782356,213696436,21,
2024,208782392,213696469,17,
2024,208782393,213696469,19,
2024,208782427,213696499,19,
2024,208782289,213696365,9,
2024,208782290,213696365,9,
2024,208782333,213696414,1,
2024,208782294,213696370,1,
2024,220851274,225702221,1,
2024,212386005,217270239,18,
2024,212386005,217270240,18,
2024,212386006,217270239,18,
2024,212386006,217270240,18,
2024,212386027,217270261,17,
2024,212386002,217270236,18,
2024,212386008,217270242,17,
2024,214203477,219078734,1,
2024,214203477,219078735,1,
2024,212386026,217270260,8,
2024,219686887,224536098,15,
2024,214203478,219078736,5,
2024,214203479,219078737,17,
2024,214203481,219078740,5,
2024,214203483,219078742,21,
2024,214203484,219078742,20,
2024,214203487,219078745,16,
2024,214203485,219078743,24,
2024,219686860,224536074,3,
2024,215836105,220704392,3,
2024,215836105,220704393,3,
2024,215836106,220704392,3,
2024,215836106,220704393,3,
2024,215836120,220704414,18,
2024,215836121,220704414,18,
2024,215836139,220704432,18,
2024,219686862,224536076,1,
2024,219686873,224536083,15,
2024,219686878,224536087,1,
2024,232072218,236920061,5,
2024,229487922,234342037,10,
2024,229487923,234342037,10,
2024,229487924,234342037,10,
2024,229487925,234342037,5,
2024,219686879,224536088,3,
2024,219686881,224536090,3,
2024,220851843,225702770,3,
2024,229487930,234342043,19,
2024,229487939,234342052,18,
2024,229487939,234342053,18,
2024,220851386,225702324,18,
2024,229487950,234342068,17,
2024,229487951,234342068,17,
2024,229487952,234342068,19,
2024,229487953,234342068,15,
2024,229487954,234342068,15,
2024,220851397,225702335,5,
2024,220851407,225702346,18,
2024,227353704,232189026,18,
2024,223745114,228579687,3,
2024,223745156,228579733,3,
2024,223745156,228579734,3,
2024,223745157,228579733,3,
2024,223745157,228579734,3,
2024,223745124,228579697,25,
2024,223745124,228579698,16,
2024,223745125,228579697,16,
2024,223745125,228579698,25,
2024,223745133,228579707,3,
2024,223745133,228579708,3,
2024,223745135,228579707,3,
2024,223745135,228579708,3,
2024,223745163,228579743,21,
2024,225394310,230229743,9,
2024,232072235,236920076,5,
2024,223745165,228579744,1,
2024,229487938,234342051,1,
2024,225394264,230229700,27,
2024,225394278,230229711,18,
2024,225394306,230229740,19,
2024,225394308,230229740,19,
2024,225394309,230229740,15,
2024,229487942,234342056,24,
2024,229487942,234342057,24,
2024,229487942,234342058,24,
2024,232072255,236920093,18,
2024,232072256,236920093,27,
2024,227354020,232189328,16,
2024,232076736,236924837,18,
2024,232076744,236924845,1,
2024,232076893,236924989,13,
2024,232076797,236924899,21,
2024,232076821,236924921,5,
2024,232076953,236925045,19,
2024,232076939,236925031,21,
2024,232076995,236925086,18,
2024,232076996,236925086,18,
2024,232076997,236925086,18,
2024,232076998,236925086,18,
2024,232077025,236925113,3,
2024,232076951,236925043,1,
2024,232077086,236925177,1,
2024,232077086,236925178,1,
2024,232077086,236925179,18,
2024,232077168,236925268,13,
2024,232077169,236925268,21,
2024,232077170,236925268,20,
2024,232077171,236925268,20,
2024,232077353,236925463,16,
2024,232077186,236925289,21,
2024,232077187,236925289,5,
2024,232077245,236925351,15,
2024,232077336,236925446,18,
2024,232077517,236925629,16,
2024,232077518,236925629,16,
2024,232077519,236925629,16,
2024,232077406,236925519,1,
2024,232077471,236925583,21,
2024,232077490,236925602,1,
2024,232077515,236925627,3,
2024,232077624,236925732,24,
2024,232077740,236925853,16,
2024,232077761,236925879,5,
2024,232077761,236925880,5,
2024,208794230,213708556,1,
2024,208794320,213708643,25,
2024,208794320,213708644,1,
