data_year,victim_id,injury_id
2024,206957195,4
2024,208782356,5
2024,208782392,5
2024,208782393,5
2024,208782427,4
2024,208782333,4
2024,220851274,5
2024,212386005,2
2024,212386006,2
2024,212386027,4
2024,212386008,8
2024,219686887,5
2024,214203478,5
2024,214203479,4
2024,214203481,4
2024,214203483,5
2024,214203484,5
2024,214203487,4
2024,214203485,4
2024,219686860,4
2024,215836105,5
2024,215836106,4
2024,215836139,4
2024,219686873,5
2024,219686878,5
2024,232072218,5
2024,229487922,5
2024,229487923,5
2024,229487924,5
2024,229487925,5
2024,220851843,5
2024,229487930,5
2024,220851397,4
2024,227353704,4
2024,223745114,5
2024,223745156,4
2024,223745157,4
2024,223745124,4
2024,223745125,5
2024,223745133,4
2024,223745135,5
2024,223745163,4
2024,232072235,5
2024,225394278,4
2024,232076744,5
2024,232076893,5
2024,232076797,5
2024,232076821,4
2024,232076953,5
2024,232076939,5
2024,232076995,5
2024,232076996,5
2024,232076997,4
2024,232076998,4
2024,232077025,5
2024,232076951,5
2024,232077086,5
2024,232077168,4
2024,232077169,5
2024,232077170,5
2024,232077171,5
2024,232077353,5
2024,232077186,5
2024,232077187,5
2024,232077245,5
2024,232077336,5
2024,232077517,4
2024,232077518,4
2024,232077519,5
2024,232077406,5
2024,232077471,5
2024,232077515,5
2024,232077740,5
2024,208794320,4
2024,208794321,4
2024,208794219,5
2024,210433125,5
2024,210433126,5
2024,208794323,5
2024,208794284,5
2024,208794285,5
2024,208794287,5
2024,208794289,5
2024,210433256,5
2024,208794392,5
2024,208794393,5
2024,208794270,5
2024,208794297,4
2024,208794342,4
2024,208794443,5
2024,210433201,4
2024,210433180,5
2024,210433208,5
2024,210433249,4
2024,212386000,4
2024,212385998,5
2024,212385989,4
2024,212385990,4
2024,212386031,5
2024,212385999,4
2024,212386003,4
2024,212386004,4
2024,212386023,4
2024,212386007,5
2024,212386025,4
2024,214209481,4
2024,225402799,5
2024,212386046,4
2024,214209562,4
2024,214209589,4
2024,214209591,4
2024,214209619,5
2024,214209649,4
2024,214209677,4
2024,214209714,4
2024,214209609,4
2024,214209638,4
2024,214209639,4
2024,214209718,4
2024,214209689,5
2024,215843920,4
2024,215843943,4
2024,215843944,5
2024,215843981,4
2024,215844074,4
2024,215844104,5
2024,217931441,4
2024,217931443,5
2024,217931259,4
2024,217931383,4
2024,217931486,4
2024,217931327,5
2024,217931362,4
2024,220859144,4
2024,219693582,5
2024,219693374,4
2024,219693382,6
2024,219693382,8
2024,219693415,4
2024,219693449,8
2024,219693529,4
2024,219693495,1
