data_year,criminal_act_id,offense_id
2024,6,221396546
2024,12,221396551
2024,9,221396547
2024,9,223237525
2024,6,223237574
2024,9,223237609
2024,9,223237549
2024,8,223237623
2024,9,223237508
2024,9,235333306
2024,8,226853223
2024,6,226853224
2024,6,226853230
2024,6,226853240
2024,6,226853247
2024,8,226853235
2024,6,226853249
2024,9,226853241
2024,9,234162322
2024,9,228676686
2024,7,228676698
2024,9,228676692
2024,8,228676695
2024,8,228676696
2024,8,228676700
2024,9,234162299
2024,3,234162303
2024,9,230311734
2024,8,230311735
2024,9,234162307
2024,6,234162316
2024,9,246548578
2024,9,243947528
2024,8,234162308
2024,8,234162309
2024,2,235333360
2024,8,235333368
2024,6,235333328
2024,6,246548532
2024,6,246548533
2024,9,235333845
2024,9,243947536
2024,8,235333913
2024,6,235333397
2024,6,243947561
2024,8,235333439
2024,6,238206245
2024,6,238206246
2024,4,241808502
2024,8,239855154
2024,4,243947527
2024,9,238206286
2024,8,238206287
2024,3,243947531
2024,9,246548597
2024,9,238206288
2024,9,239855129
2024,2,239855111
2024,8,241808805
2024,10,246553481
2024,9,246553413
2024,9,246553567
2024,9,246553473
2024,9,246553498
2024,6,246553550
2024,9,246553627
2024,7,246553667
2024,6,246553668
2024,6,246553698
2024,9,246553612
2024,6,246553650
2024,8,246553734
2024,6,246553735
2024,8,246553709
2024,6,246553710
2024,8,246553728
2024,7,246553742
2024,6,246553751
2024,9,246553765
2024,6,246553785
2024,6,246553801
2024,9,246554054
2024,8,246554080
2024,6,246554081
2024,8,246554165
2024,6,246554166
2024,9,246553934
2024,6,246554852
2024,8,246554133
2024,6,246554134
2024,8,246553993
2024,6,246553994
2024,8,246554012
2024,9,246554036
2024,6,246554050
2024,8,246554092
2024,9,246554230
2024,6,246554265
2024,6,246554297
2024,9,246554107
2024,6,246554132
2024,8,246554149
2024,9,246554181
2024,6,246554270
2024,8,246554211
2024,6,246554212
2024,6,246554317
2024,9,246554227
2024,8,246554252
2024,9,246554339
2024,8,246554331
2024,8,246554332
2024,6,246554400
2024,8,246554304
2024,6,246554305
2024,9,246554458
2024,9,246554481
2024,8,246554416
2024,8,246554454
2024,6,246554455
2024,8,246554466
2024,6,246554467
2024,6,223250151
2024,1,223250152
2024,6,223250153
2024,8,223250210
2024,6,223250211
2024,9,223250251
2024,9,224906131
2024,8,223250238
2024,6,223250320
2024,9,223250254
2024,3,241824353
2024,9,223250199
2024,8,223250200
2024,8,223250201
2024,9,223250226
2024,6,224906060
2024,8,224906133
2024,8,226853220
2024,6,226853221
2024,8,224906191
2024,6,224906192
2024,6,224906081
2024,9,224906155
2024,8,224906096
2024,9,224906166
2024,6,226853225
2024,9,226853237
2024,8,226853231
2024,6,226853233
2024,9,226853269
2024,9,226853238
2024,1,226853251
2024,8,226853266
2024,8,226853267
2024,9,226853263
2024,5,226853280
2024,5,226853281
2024,8,226853283
2024,8,226853290
2024,6,226853291
2024,9,228682840
2024,9,228682867
2024,9,228682899
2024,8,228682921
2024,8,228682922
2024,9,228682962
2024,9,228683001
2024,9,228682887
2024,9,228682918
2024,14,228683025
2024,8,228683013
2024,8,228683014
2024,12,228683046
2024,6,230319604
2024,9,230319689
2024,8,230319773
2024,8,230319774
2024,8,235341112
2024,8,230319629
2024,3,230319630
2024,6,232410408
2024,8,232410399
2024,9,232410324
2024,8,232410389
2024,8,232410494
2024,6,232410495
2024,8,235341313
2024,9,235341085
2024,9,234168873
2024,9,234168907
2024,8,234168933
2024,9,234168877
2024,8,234168922
2024,8,234168923
2024,6,234168994
2024,9,234168980
2024,6,234168984
2024,9,235341146
2024,8,243956279
2024,8,243956280
2024,9,235341260
2024,9,235341222
2024,9,235341262
2024,9,239863982
2024,1,239864025
2024,6,239863858
2024,4,243956364
2024,3,239864140
2024,8,239864050
2024,9,239864183
2024,8,246560703
2024,3,241824546
2024,6,241824407
2024,6,241824548
2024,6,241824566
2024,8,241824476
2024,4,241824631
2024,8,241824600
2024,8,241824500
2024,8,241824501
2024,6,241824547
2024,6,224085090
2024,6,224085091
2024,8,235338850
2024,8,224080312
2024,6,235338865
2024,8,224080386
2024,6,235339997
2024,6,235340000
2024,6,235339472
2024,8,235340192
2024,6,224085452
2024,4,235339737
2024,8,235339838
2024,6,224085481
2024,6,224085482
2024,6,235339870
2024,6,235340070
2024,4,235339984
2024,4,235340024
2024,6,235340257
2024,4,224089949
2024,6,235340329
2024,6,235340411
2024,6,235340412
2024,8,235340430
2024,8,224085655
2024,8,224085656
2024,6,235340520
2024,6,235340564
2024,6,235340493
2024,6,235340494
2024,6,235340517
2024,6,235340519
2024,8,224085672
2024,8,224085673
2024,8,224081798
2024,6,235340856
2024,6,235340857
2024,6,235340828
2024,8,235340972
2024,8,224081959
2024,8,235340992
2024,8,235341028
2024,8,224082084
2024,8,235341104
2024,6,235341110
2024,6,235341300
2024,6,235341318
2024,6,235341388
2024,2,235341338
2024,8,235341363
2024,8,235341429
2024,8,235341430
2024,8,235341488
2024,8,235341489
2024,3,235341397
2024,6,235341448
2024,6,235341449
2024,6,235341454
2024,6,235341487
2024,8,235341506
2024,8,235341699
2024,8,235341859
2024,8,235341860
2024,8,235341877
2024,8,235341897
2024,6,235342101
2024,8,235342158
2024,6,235342170
2024,2,235342359
2024,6,235342259
2024,6,235342260
2024,8,235342344
2024,8,235343036
2024,8,235343037
2024,8,235343068
2024,8,235343069
2024,8,235343150
2024,6,235343373
2024,3,235343459
2024,6,235343400
2024,6,235343493
2024,6,235343494
2024,6,235343782
2024,6,235343783
2024,6,235343710
2024,6,235343662
2024,6,235343735
2024,6,235343629
2024,6,235343749
2024,6,235343852
2024,6,235343956
2024,6,235343998
2024,6,235343987
2024,6,235343808
2024,6,235343810
2024,6,235343906
2024,6,235343907
2024,6,235344130
2024,6,235344131
2024,6,235344061
2024,6,235344062
2024,6,235344484
2024,6,235344592
2024,6,235344599
2024,6,235344692
2024,6,235344866
2024,6,235344867
2024,6,235345002
2024,6,235345191
2024,6,235345353
2024,6,235345396
2024,6,235345320
2024,6,235345435
2024,6,235345780
2024,6,235345990
2024,12,235345829
2024,6,235346130
2024,6,235346070
2024,6,235346071
2024,6,235346057
2024,6,241816564
2024,6,235346374
2024,6,235346375
2024,6,235346371
2024,6,235346372
2024,6,235346549
2024,6,241816434
2024,6,235346670
2024,6,238214828
2024,6,238214829
2024,6,238214868
2024,6,238215029
2024,6,241816506
2024,6,241816509
2024,6,238215048
2024,6,238215158
2024,6,238215160
2024,6,238215130
2024,6,238215201
2024,6,238215202
2024,6,238215317
2024,6,238215493
2024,6,238215471
2024,4,238215510
2024,4,238215543
2024,3,241816480
2024,3,241816481
2024,6,238215645
2024,6,238215646
2024,6,238215579
2024,6,238215580
2024,6,238215874
2024,6,238215875
2024,6,238216008
2024,6,238216009
2024,8,238216179
2024,8,238216258
2024,8,238216259
2024,6,238216365
2024,6,241816562
2024,6,241816563
2024,8,238216429
2024,6,238216765
2024,9,221408538
2024,9,221408724
2024,6,221408658
2024,6,221408687
2024,9,221408808
2024,9,221408723
2024,6,221408758
2024,6,221408759
2024,9,221408935
2024,9,221408810
2024,9,221408860
2024,9,221408896
2024,9,221408995
2024,9,221408815
2024,9,223253309
2024,9,221408918
2024,6,221408949
2024,6,221408976
2024,9,221409104
2024,9,221409097
2024,9,221409012
2024,9,221409044
2024,9,221409095
2024,9,221409096
2024,9,221409152
2024,9,221409184
2024,6,221409168
2024,9,221409073
2024,9,221409125
2024,9,221409163
2024,9,221409164
2024,9,221409199
2024,9,221409119
2024,9,221409151
2024,9,221409295
2024,9,221409158
2024,9,221409328
2024,9,221409202
2024,9,221409359
2024,9,221409461
2024,9,221409332
2024,9,221409365
2024,9,221409630
2024,9,221409304
2024,9,221409327
2024,9,221409472
2024,6,221409504
2024,9,221409426
2024,9,221409585
2024,9,221409456
2024,6,221409482
2024,9,221409450
2024,9,221409486
2024,9,223253323
2024,9,223253507
2024,9,223253546
2024,9,223253487
2024,9,232414466
2024,9,223253407
2024,9,223253339
2024,9,223253567
2024,6,223253600
2024,9,223253357
2024,3,223253543
2024,9,223253588
2024,9,223253594
2024,9,223253601
2024,9,223253635
2024,9,223253684
2024,9,223253655
2024,9,223253697
2024,9,223253675
2024,9,223253626
2024,9,223253738
2024,6,223253773
2024,6,223253774
2024,9,223253610
2024,9,223253749
2024,9,223253781
2024,9,223253731
2024,9,223253856
2024,9,223253748
2024,9,223253876
2024,9,223253822
2024,6,223253893
2024,9,223253918
2024,6,223253832
2024,9,223253972
2024,9,223253813
2024,9,223253838
2024,9,223254028
2024,9,223254070
2024,9,223254077
2024,9,223254110
2024,9,223253949
2024,9,223253991
2024,9,223254128
2024,9,223254150
2024,9,223254024
2024,9,223254147
2024,6,223254032
2024,9,223254146
2024,9,223254051
2024,9,223254166
2024,9,223254220
2024,9,223254133
2024,9,223254123
2024,9,223254311
2024,9,223254188
2024,9,223254221
2024,9,223254275
2024,9,223254338
2024,9,223254318
2024,9,223254365
2024,9,223254398
2024,9,223254429
2024,9,223254478
2024,9,223254488
2024,3,223254522
2024,9,223254389
2024,9,223254475
2024,9,223254506
2024,9,223254514
2024,9,223254493
2024,9,223254459
2024,6,223254613
2024,9,223254651
2024,9,223254566
2024,9,224909059
2024,3,224909105
2024,6,224909139
2024,9,224909187
2024,9,224909224
2024,9,224909058
2024,9,224909317
2024,9,224909363
2024,9,224909076
2024,9,224909158
2024,9,224909161
2024,9,224909237
2024,9,224909282
2024,9,224909418
2024,9,224909635
2024,6,224909514
2024,9,224909686
2024,9,224909669
2024,9,224909738
2024,9,224909585
2024,9,224909643
2024,9,224909616
2024,9,224909617
2024,9,224909695
2024,6,224909706
2024,9,224909660
2024,9,224909664
2024,9,224909702
2024,9,224909749
2024,9,224909655
2024,9,224909713
2024,9,224909807
2024,9,224909836
2024,6,224909876
2024,6,224909795
2024,9,224909828
2024,9,224909932
2024,9,224909920
2024,9,224909902
2024,9,224909942
2024,9,224909906
2024,9,224910079
2024,9,224910080
2024,9,224910091
2024,9,224910048
2024,9,224910241
2024,9,224910045
2024,9,224910108
2024,9,224910182
2024,9,224910094
2024,9,232414582
2024,9,224910231
2024,9,224910326
2024,9,224910281
2024,6,224910328
2024,6,224910546
2024,9,224910278
2024,6,224910523
2024,9,224910310
2024,9,224910518
2024,9,224910354
2024,9,224910395
2024,9,224910409
2024,9,224910448
2024,10,224910443
2024,9,224910539
2024,9,224910578
2024,9,224910472
2024,9,224910587
2024,9,224910626
2024,9,224910671
2024,9,224910573
2024,9,224910607
2024,9,224910667
2024,9,224910675
2024,9,224910711
2024,9,224910759
2024,9,224910690
2024,9,224910769
2024,9,224910811
2024,9,224910815
2024,9,224910800
2024,9,224910838
2024,9,224911141
2024,9,224910954
2024,9,224910996
2024,9,224911029
2024,9,224911095
2024,9,224910929
2024,9,224911123
2024,9,224911005
2024,9,224911098
2024,9,224911226
2024,9,224911263
2024,9,224911137
2024,9,224911283
2024,9,224911193
2024,9,224911203
2024,9,226230264
2024,9,226230251
2024,9,226230282
2024,9,226230358
2024,9,226230385
2024,9,226230290
2024,9,226230410
2024,9,226230439
2024,9,226230515
2024,9,226230476
2024,9,226230569
2024,9,226230568
2024,9,226230611
2024,9,226230471
2024,9,226230558
2024,9,226230550
2024,9,226230563
2024,9,226230641
2024,9,226230645
2024,9,226230513
2024,9,226230598
2024,9,226230669
2024,9,226230605
2024,9,226230660
2024,9,226230706
2024,9,226230865
2024,9,226230739
2024,9,226230913
2024,9,226230794
2024,9,226230940
2024,9,226230804
2024,9,226230849
2024,9,226230945
2024,9,226230866
2024,9,226230958
2024,9,226231027
2024,9,226230877
2024,9,226230966
2024,6,226230929
2024,9,226230993
2024,9,226231081
2024,6,226231171
2024,6,226231172
2024,9,226231233
2024,9,226231018
2024,9,226231135
2024,9,226231257
2024,9,226231078
2024,9,226231126
2024,9,226231164
2024,9,226231155
2024,9,226231228
2024,9,226231152
2024,9,226231075
2024,9,226231117
2024,9,226231190
2024,9,226231278
2024,9,226231252
2024,9,226231268
2024,9,226231414
2024,9,226231284
2024,9,226231365
2024,9,226231460
2024,9,226231500
2024,9,226231320
2024,6,226231386
2024,6,226231387
2024,9,226231483
2024,9,226231515
2024,6,226231546
2024,9,226231635
2024,9,226231490
2024,9,226231581
2024,9,226231640
2024,9,226231641
2024,9,226231551
2024,9,226231784
2024,9,226231825
2024,9,226231586
2024,9,226231649
2024,9,226231729
2024,9,226231768
2024,9,226231624
2024,9,239867779
2024,9,226231654
2024,9,226231743
2024,9,226231817
2024,9,226231857
2024,9,226231861
2024,9,226231862
2024,9,226231870
2024,9,226231897
2024,9,228685834
2024,9,228685781
2024,6,228685808
2024,9,228685855
2024,9,228685856
