data_year,suspect_using_id,offense_id
2024,4,246548569
2024,4,221396564
2024,3,221396546
2024,4,221396551
2024,4,223237548
2024,1,221396559
2024,2,223237595
2024,4,221396547
2024,2,223237525
2024,1,223237573
2024,4,223237574
2024,4,223237609
2024,1,223237641
2024,1,223237504
2024,4,223237507
2024,4,223237549
2024,4,223237576
2024,4,223237577
2024,3,223237623
2024,4,223237508
2024,4,223237536
2024,4,226853262
2024,4,235333306
2024,3,226853223
2024,3,226853224
2024,3,226853230
2024,1,226853240
2024,4,226853247
2024,3,226853235
2024,4,226853243
2024,3,226853249
2024,4,226853265
2024,4,228676678
2024,4,226853241
2024,4,226853244
2024,4,234162311
2024,4,228676685
2024,2,226853264
2024,4,226853268
2024,4,234162322
2024,1,228676686
2024,4,228676687
2024,4,228676689
2024,4,228676691
2024,4,228676694
2024,4,228676698
2024,4,228676692
2024,3,228676695
2024,3,228676696
2024,3,228676700
2024,4,228676702
2024,4,230311707
2024,4,234162299
2024,1,230311700
2024,4,234162303
2024,4,230311715
2024,1,230311734
2024,1,230311735
2024,4,238206238
2024,4,234162301
2024,4,234162307
2024,4,234162313
2024,3,234162316
2024,4,246548578
2024,4,243947528
2024,3,234162308
2024,3,234162309
2024,1,234162312
2024,4,234162315
2024,4,235333351
2024,4,235333360
2024,4,235333368
2024,3,235333328
2024,3,246548532
2024,3,246548533
2024,4,235333845
2024,4,243947536
2024,3,235333913
2024,4,243947546
2024,4,243947547
2024,4,243947548
2024,4,243947549
2024,4,235333397
2024,4,235333408
2024,3,243947561
2024,3,243947562
2024,4,235333392
2024,4,235333416
2024,4,235333426
2024,4,235333432
2024,3,235333439
2024,1,241808531
2024,4,238206240
2024,3,238206245
2024,3,238206246
2024,4,241808502
2024,1,238206280
2024,3,239855154
2024,4,238206250
2024,2,243947527
2024,4,238206258
2024,3,238206286
2024,3,238206287
2024,4,243947531
2024,4,239855174
2024,4,246548597
2024,4,238206288
2024,4,243947545
2024,4,239855129
2024,4,239855142
2024,3,239855111
2024,4,239855173
2024,4,243947552
2024,4,246548618
2024,4,241808800
2024,4,239855132
2024,4,241808829
2024,1,241808804
2024,1,241808805
2024,4,243947558
2024,4,243947559
2024,4,246553456
2024,4,246553481
2024,4,246553404
2024,4,246553413
2024,4,246553567
2024,4,246553446
2024,4,246553473
2024,4,246553498
2024,4,246553550
2024,4,246553583
2024,4,246553627
2024,3,246553667
2024,3,246553668
2024,4,246553698
2024,4,246553612
2024,3,246553650
2024,3,246553672
2024,1,246553697
2024,3,246553734
2024,3,246553735
2024,4,246553625
2024,4,246553741
2024,3,246553709
2024,3,246553710
2024,3,246553728
2024,4,246553742
2024,3,246553751
2024,4,246553765
2024,4,246553785
2024,4,246553801
2024,4,246553824
2024,1,246553849
2024,4,246554054
2024,1,246554080
2024,1,246554081
2024,4,246554128
2024,3,246554165
2024,3,246554166
2024,1,246553867
2024,4,246553908
2024,4,246553934
2024,4,246554820
2024,3,246554852
2024,3,246554133
2024,3,246554134
2024,3,246553993
2024,3,246553994
2024,3,246554012
2024,1,246554036
2024,3,246554050
2024,3,246554092
2024,1,246554230
2024,3,246554265
2024,3,246554297
2024,4,246554107
2024,3,246554132
2024,3,246554149
2024,4,246554181
2024,4,246554200
2024,4,246554223
2024,4,246554246
2024,3,246554270
2024,4,246554197
2024,3,246554211
2024,3,246554212
2024,1,246554317
2024,1,246554227
2024,1,246554252
2024,4,246554339
2024,3,246554331
2024,3,246554332
2024,4,246554359
2024,4,246554380
2024,3,246554400
2024,4,246554304
2024,4,246554305
2024,1,246554458
2024,4,246554481
2024,3,246554416
2024,4,246554434
2024,3,246554454
2024,3,246554455
2024,3,246554466
2024,3,246554467
2024,3,223250151
2024,3,223250152
2024,3,223250153
2024,4,223250210
2024,4,223250211
2024,4,223250251
2024,4,223250325
2024,4,223250139
2024,4,224906131
2024,4,224906132
2024,4,223250179
2024,3,223250238
2024,2,224906052
2024,4,223250244
2024,4,223250284
2024,3,223250320
2024,4,223250162
2024,4,223250254
2024,4,223250170
2024,4,223250212
2024,4,224906169
2024,3,241824353
2024,1,223250331
2024,4,228682836
2024,4,223250199
2024,4,223250200
2024,4,223250201
2024,2,223250232
2024,4,223250263
2024,4,223250226
2024,1,223250276
2024,4,223250324
2024,4,224906059
2024,4,224906060
2024,1,223250389
2024,4,223250482
2024,4,239863997
2024,4,226853215
2024,1,224906127
2024,4,226853217
2024,4,224906102
2024,3,224906133
2024,3,226853220
2024,3,226853221
2024,3,224906191
2024,3,224906192
2024,4,224906081
2024,1,224906106
2024,4,224906134
2024,4,224906155
2024,4,228682842
2024,4,224906177
2024,3,224906096
2024,4,224906118
2024,4,228682882
2024,4,224906136
2024,1,224906166
2024,4,224906186
2024,4,224906104
2024,4,226853225
2024,4,226853218
2024,4,226853228
2024,4,226853239
2024,4,226853246
2024,4,226853237
2024,4,226853227
2024,4,226853231
2024,4,226853233
2024,4,243956479
2024,4,226853250
2024,4,226853260
2024,4,226853269
2024,4,226853238
2024,4,226853242
2024,4,226853251
2024,4,226853261
2024,3,226853266
2024,3,226853267
2024,4,226853245
2024,4,226853263
2024,4,226853270
2024,4,226853272
2024,4,228682754
2024,4,239863911
2024,1,226853280
2024,3,226853280
2024,1,226853281
2024,3,226853281
2024,1,226853283
2024,3,226853283
2024,4,226853290
2024,4,226853291
2024,4,226853296
2024,4,226853301
2024,4,226853282
2024,4,228682840
2024,4,228682867
2024,1,228682899
2024,1,228682929
2024,4,228682829
2024,3,228682921
2024,3,228682922
2024,4,228682962
2024,4,228683001
2024,4,228682887
2024,4,228682918
2024,1,228682939
2024,4,230319587
2024,4,228683005
2024,4,228683025
2024,4,228682974
2024,3,241824370
2024,3,228683013
2024,3,228683014
2024,3,228683046
2024,4,228682896
2024,4,228682920
2024,1,228682973
2024,4,228682996
