data_year,arrestee_id,nibrs_arrestee_weapon_id,weapon_id
2024,63744978,,51
2024,56674478,,51
2024,57159386,,51
2024,57159421,,51
2024,57159413,,51
2024,60581005,,51
2024,58163473,,51
2024,58163470,,51
2024,58163471,,51
2024,58163474,,51
2024,58711247,,53
2024,58711249,,51
2024,58711252,,51
2024,59167705,,51
2024,59167714,,51
2024,60240742,,51
2024,60581029,,5
2024,60581173,,51
2024,60581188,,51
2024,62991443,,51
2024,60581051,,51
2024,60581060,,51
2024,60581061,,51
2024,62404729,,51
2024,61382430,,51
2024,61859730,,51
2024,61859731,,51
2024,62404833,,51
2024,62991441,,51
2024,63746755,,51
2024,63746763,,51
2024,63746785,,51
2024,63746791,,51
2024,63746797,,51
2024,63746812,,51
2024,63746803,,51
2024,63746817,,5
2024,63746830,,51
2024,63746842,,51
2024,63746901,,51
2024,63746927,,51
2024,63746848,,51
2024,63747102,,51
2024,63746920,,51
2024,63746875,,51
2024,63746892,,51
2024,63746937,,51
2024,63746949,,51
2024,63746958,,5
2024,63746959,,5
2024,63746924,,5
2024,63746952,,51
2024,63746933,,51
2024,63746968,,51
2024,63746938,,52
2024,63746944,,51
2024,63746976,,51
2024,63746999,,51
2024,63747000,,51
2024,63746962,,51
2024,63747019,,51
2024,63747017,,51
2024,63747024,,51
2024,57163038,,51
2024,57163061,,51
2024,57163067,,51
2024,57163072,,51
2024,57163060,,51
2024,57163056,,51
2024,57163083,,51
2024,57163126,,51
2024,57627817,,5
2024,57627836,,51
2024,58163469,,1
2024,58163472,,51
2024,58163477,,51
2024,58163485,,51
2024,58163480,,51
2024,58713288,,51
2024,58713296,,51
2024,58713311,,51
2024,58713309,,51
2024,58713322,,51
2024,58713330,,51
2024,58713313,,51
2024,58713324,,51
2024,59170370,,51
2024,59170404,,51
2024,59170421,,51
2024,59755487,,51
2024,59755507,,51
2024,59755538,,51
2024,59755520,,51
2024,59755530,,51
2024,59755531,,51
2024,59755532,,51
2024,59755553,,51
2024,59755512,,51
2024,60242783,,51
2024,60242804,,51
2024,60242772,,51
2024,60242798,,51
2024,62994400,,51
2024,62994401,,51
2024,60242793,,51
2024,62994411,,51
2024,60583154,,51
2024,61862907,,51
2024,61862914,,51
2024,62409952,,51
2024,62409969,,51
2024,62409960,,51
2024,62409973,,51
2024,57390339,,51
2024,60582546,,51
2024,60582878,,51
2024,60582534,,51
2024,57388922,,5
2024,60582568,,51
2024,60582569,,51
2024,60582576,,51
2024,60582620,,51
2024,57389014,,51
2024,60582692,,51
2024,60582867,,51
2024,57390499,,51
2024,60582817,,51
2024,57390509,,51
2024,60582840,,51
2024,60582819,,51
2024,60582838,,51
2024,60582839,,51
2024,57391730,,51
2024,60582922,,51
2024,60582905,,51
2024,60582936,,51
2024,60582940,,51
2024,57390561,,51
2024,60582948,,51
2024,60582960,,51
2024,60582957,,51
2024,60582955,,51
2024,60582956,,51
2024,60582972,,51
2024,57389296,,51
2024,57390577,,51
2024,57390591,,51
2024,57389299,,5
2024,60582997,,51
2024,60583007,,51
2024,60583045,,51
