data_year,weapon_id,offense_id,nibrs_weapon_id
2024,38,221396559,
2024,41,223237573,
2024,41,223237609,
2024,41,223237641,
2024,42,223237549,
2024,42,235333306,
2024,41,226853243,
2024,41,226853265,
2024,41,226853244,
2024,42,234162322,
2024,38,228676686,
2024,31,228676687,
2024,41,228676689,
2024,42,228676691,
2024,41,228676694,
2024,5,228676698,
2024,41,228676692,
2024,38,234162299,
2024,41,230311700,
2024,42,230311734,
2024,39,234162307,
2024,42,234162313,
2024,42,246548578,
2024,42,243947528,
2024,41,235333845,
2024,42,243947536,
2024,5,235333397,
2024,41,235333416,
2024,41,241808531,
2024,42,238206240,
2024,5,238206246,
2024,41,238206280,
2024,41,238206250,
2024,41,238206258,
2024,42,238206286,
2024,42,246548597,
2024,42,239855142,
2024,41,246553413,
2024,42,246553567,
2024,41,246553473,
2024,41,246553498,
2024,38,246553627,
2024,38,246553612,
2024,41,246553672,
2024,41,246553697,
2024,42,246553625,
2024,42,246553765,
2024,41,246553849,
2024,42,246554054,
2024,41,246553867,
2024,38,246553934,
2024,41,246554036,
2024,41,246554230,
2024,42,246554107,
2024,21,246554181,
2024,21,246554227,
2024,42,246554458,
2024,38,246554481,
2024,39,223250251,
2024,42,223250139,
2024,42,224906052,
2024,41,223250254,
2024,41,223250212,
2024,42,224906169,
2024,41,223250331,
2024,42,223250199,
2024,41,223250226,
2024,41,223250276,
2024,41,223250389,
2024,41,224906127,
2024,39,224906106,
2024,42,224906134,
2024,41,224906166,
2024,41,226853239,
2024,41,226853237,
2024,41,226853227,
2024,42,226853269,
2024,41,226853238,
2024,41,226853242,
2024,38,226853261,
2024,42,226853245,
2024,41,226853263,
2024,42,228682754,
2024,42,239863911,
2024,13,226853281,
2024,41,226853282,
2024,41,228682840,
2024,41,228682867,
2024,42,228682899,
2024,39,228682929,
2024,41,228682962,
2024,41,228683001,
2024,41,228682887,
2024,41,228682918,
2024,41,228683005,
2024,36,241824370,
2024,42,228682973,
2024,41,230319620,
2024,39,230319646,
2024,41,230319689,
2024,41,230319778,
2024,41,230319814,
2024,41,232410511,
2024,41,232410324,
2024,41,232410455,
2024,41,232410559,
2024,42,232410397,
2024,41,232410432,
2024,41,235341085,
2024,42,234169084,
2024,39,234168873,
2024,41,234168906,
2024,41,234168907,
2024,41,234168941,
2024,41,234169030,
2024,41,234168990,
2024,31,234169023,
2024,31,234169024,
2024,41,234168925,
2024,42,234168962,
