fips,county_name,total_emp,total_estab,total_payann,emp_11,emp_21,emp_22,emp_23,emp_31_33,emp_42,emp_44_45,emp_48_49,emp_51,emp_52,emp_53,emp_54,emp_55,emp_56,emp_61,emp_62,emp_71,emp_72,emp_81,estab_11,estab_21,estab_22,estab_23,estab_31_33,estab_42,estab_44_45,estab_48_49,estab_51,estab_52,estab_53,estab_54,estab_55,estab_56,estab_61,estab_62,estab_71,estab_72,estab_81,share_11,share_21,share_22,share_23,share_31_33,share_42,share_44_45,share_48_49,share_51,share_52,share_53,share_54,share_55,share_56,share_61,share_62,share_71,share_72,share_81,avg_annual_wage
18051,Gibson,20025,706,1170938,12.0,619.0,386.0,331.0,11261.0,299.0,1623.0,833.0,67.0,165.0,109.0,337.0,,676.0,449.0,1409.0,28.0,997.0,418.0,6.0,8.0,10.0,65.0,38.0,22.0,116.0,46.0,8.0,42.0,23.0,49.0,,34.0,4.0,76.0,9.0,62.0,87.0,0.06,3.09,1.93,1.65,56.23,1.49,8.1,4.16,0.33,0.82,0.54,1.68,,3.38,2.24,7.04,0.14,4.98,2.09,58474.0
18053,Grant,27945,1257,1168262,28.0,41.0,157.0,734.0,4827.0,302.0,2727.0,2904.0,396.0,652.0,124.0,340.0,209.0,915.0,4258.0,5471.0,102.0,2611.0,1147.0,3.0,3.0,6.0,103.0,58.0,39.0,215.0,44.0,23.0,88.0,45.0,64.0,6.0,52.0,11.0,170.0,14.0,132.0,181.0,0.1,0.15,0.56,2.63,17.27,1.08,9.76,10.39,1.42,2.33,0.44,1.22,0.75,3.27,15.24,19.58,0.37,9.34,4.1,41806.0
18055,Greene,4783,562,184256,66.0,,77.0,242.0,600.0,98.0,932.0,65.0,20.0,169.0,47.0,313.0,,116.0,31.0,1017.0,15.0,635.0,308.0,5.0,,6.0,60.0,23.0,21.0,99.0,19.0,7.0,34.0,13.0,39.0,,26.0,7.0,57.0,3.0,51.0,89.0,1.38,,1.61,5.06,12.54,2.05,19.49,1.36,0.42,3.53,0.98,6.54,,2.43,0.65,21.26,0.31,13.28,6.44,38523.0
18057,Hamilton,164274,10169,10316959,54.0,221.0,1177.0,8521.0,4972.0,6348.0,16956.0,1808.0,1475.0,21901.0,2890.0,22854.0,7424.0,11552.0,2559.0,23125.0,3278.0,19847.0,7292.0,13.0,11.0,23.0,773.0,194.0,553.0,910.0,207.0,158.0,889.0,710.0,1647.0,87.0,613.0,199.0,1310.0,204.0,804.0,852.0,0.03,0.13,0.72,5.19,3.03,3.86,10.32,1.1,0.9,13.33,1.76,13.91,4.52,7.03,1.56,14.08,2.0,12.08,4.44,62803.0
18059,Hancock,24723,1557,1399997,14.0,,89.0,1389.0,4175.0,976.0,3949.0,1979.0,185.0,393.0,169.0,2821.0,481.0,1587.0,49.0,2955.0,126.0,2413.0,971.0,8.0,,5.0,233.0,73.0,53.0,164.0,76.0,21.0,84.0,72.0,163.0,6.0,118.0,14.0,155.0,20.0,132.0,159.0,0.06,,0.36,5.62,16.89,3.95,15.97,8.0,0.75,1.59,0.68,11.41,1.95,6.42,0.2,11.95,0.51,9.76,3.93,56627.0
18061,Harrison,8585,683,355663,13.0,51.0,97.0,604.0,1306.0,261.0,1437.0,203.0,114.0,219.0,52.0,150.0,,101.0,13.0,1632.0,91.0,1876.0,363.0,3.0,5.0,6.0,101.0,36.0,24.0,104.0,26.0,10.0,40.0,31.0,33.0,,32.0,3.0,84.0,11.0,58.0,75.0,0.15,0.59,1.13,7.04,15.21,3.04,16.74,2.36,1.33,2.55,0.61,1.75,,1.18,0.15,19.01,1.06,21.85,4.23,41428.0
18063,Hendricks,69850,3823,3444865,12.0,,877.0,4899.0,3456.0,3232.0,14800.0,12754.0,226.0,1042.0,607.0,1718.0,168.0,3792.0,313.0,10393.0,643.0,7737.0,3163.0,3.0,,15.0,410.0,97.0,136.0,474.0,316.0,35.0,244.0,216.0,318.0,14.0,222.0,44.0,401.0,94.0,370.0,411.0,0.02,,1.26,7.01,4.95,4.63,21.19,18.26,0.32,1.49,0.87,2.46,0.24,5.43,0.45,14.88,0.92,11.08,4.53,49318.0
18065,Henry,10889,851,447477,38.0,,55.0,543.0,2731.0,252.0,1570.0,183.0,162.0,249.0,78.0,133.0,,700.0,33.0,2207.0,171.0,1165.0,597.0,4.0,,6.0,101.0,51.0,29.0,138.0,31.0,20.0,46.0,35.0,43.0,,34.0,4.0,95.0,14.0,80.0,116.0,0.35,,0.51,4.99,25.08,2.31,14.42,1.68,1.49,2.29,0.72,1.22,,6.43,0.3,20.27,1.57,10.7,5.48,41094.0
18069,Huntington,12676,882,495228,,30.0,48.0,395.0,3794.0,293.0,1379.0,317.0,390.0,307.0,78.0,336.0,,329.0,705.0,1789.0,209.0,1285.0,954.0,,3.0,3.0,84.0,65.0,38.0,131.0,43.0,13.0,59.0,38.0,49.0,,33.0,9.0,72.0,20.0,88.0,130.0,,0.24,0.38,3.12,29.93,2.31,10.88,2.5,3.08,2.42,0.62,2.65,,2.6,5.56,14.11,1.65,10.14,7.53,39068.0
18073,Jasper,8851,768,410869,102.0,,218.0,812.0,1530.0,509.0,1572.0,862.0,52.0,264.0,81.0,228.0,,393.0,82.0,936.0,28.0,832.0,338.0,7.0,,4.0,93.0,35.0,40.0,125.0,69.0,14.0,49.0,23.0,53.0,,34.0,7.0,52.0,11.0,64.0,85.0,1.15,,2.46,9.17,17.29,5.75,17.76,9.74,0.59,2.98,0.92,2.58,,4.44,0.93,10.58,0.32,9.4,3.82,46421.0
18075,Jay,5863,406,259362,201.0,31.0,36.0,184.0,2479.0,209.0,590.0,97.0,33.0,115.0,40.0,167.0,,105.0,,773.0,27.0,514.0,241.0,6.0,3.0,4.0,40.0,32.0,17.0,56.0,16.0,6.0,29.0,15.0,25.0,,12.0,,45.0,8.0,32.0,57.0,3.43,0.53,0.61,3.14,42.28,3.56,10.06,1.65,0.56,1.96,0.68,2.85,,1.79,,13.18,0.46,8.77,4.11,44237.0
18079,Jennings,6588,455,324603,8.0,,,784.0,1973.0,164.0,739.0,936.0,18.0,88.0,25.0,124.0,,255.0,9.0,831.0,27.0,423.0,150.0,4.0,,,52.0,40.0,10.0,62.0,26.0,3.0,28.0,12.0,22.0,,25.0,3.0,93.0,9.0,28.0,34.0,0.12,,,11.9,29.95,2.49,11.22,14.21,0.27,1.34,0.38,1.88,,3.87,0.14,12.61,0.41,6.42,2.28,49272.0
18083,Knox,13876,852,636426,10.0,847.0,218.0,689.0,2051.0,592.0,2014.0,586.0,138.0,301.0,155.0,249.0,,633.0,73.0,3295.0,108.0,1385.0,532.0,5.0,7.0,13.0,63.0,35.0,48.0,153.0,31.0,13.0,50.0,35.0,44.0,,41.0,4.0,103.0,10.0,85.0,110.0,0.07,6.1,1.57,4.97,14.78,4.27,14.51,4.22,0.99,2.17,1.12,1.79,,4.56,0.53,23.75,0.78,9.98,3.83,45865.0
18087,LaGrange,14736,963,856280,53.0,,,779.0,8678.0,683.0,1369.0,345.0,22.0,206.0,68.0,231.0,44.0,122.0,,873.0,28.0,750.0,445.0,15.0,,,136.0,195.0,52.0,148.0,55.0,9.0,32.0,30.0,39.0,4.0,31.0,,53.0,7.0,60.0,89.0,0.36,,,5.29,58.89,4.63,9.29,2.34,0.15,1.4,0.46,1.57,0.3,0.83,,5.92,0.19,5.09,3.02,58108.0
18089,Lake,167600,10472,9430121,11.0,84.0,2975.0,11359.0,22142.0,6075.0,24118.0,7913.0,1364.0,3787.0,1970.0,6082.0,1691.0,7278.0,2643.0,33888.0,3064.0,21507.0,9642.0,4.0,5.0,39.0,954.0,366.0,447.0,1546.0,581.0,116.0,586.0,444.0,871.0,34.0,497.0,144.0,1376.0,137.0,1110.0,1209.0,0.01,0.05,1.78,6.78,13.21,3.62,14.39,4.72,0.81,2.26,1.18,3.63,1.01,4.34,1.58,20.22,1.83,12.83,5.75,56266.0
18091,LaPorte,33755,2274,1605049,8.0,,335.0,1793.0,7637.0,1973.0,4975.0,1474.0,294.0,813.0,354.0,764.0,81.0,1421.0,244.0,5567.0,353.0,4375.0,1292.0,5.0,,13.0,211.0,157.0,109.0,380.0,75.0,28.0,111.0,91.0,142.0,10.0,131.0,17.0,246.0,36.0,257.0,253.0,0.02,,0.99,5.31,22.62,5.85,14.74,4.37,0.87,2.41,1.05,2.26,0.24,4.21,0.72,16.49,1.05,12.96,3.83,47550.0
18093,Lawrence,13079,903,565288,13.0,296.0,35.0,579.0,3526.0,169.0,2010.0,189.0,102.0,393.0,85.0,659.0,,180.0,98.0,2994.0,55.0,1062.0,631.0,3.0,9.0,4.0,93.0,53.0,18.0,165.0,25.0,16.0,58.0,35.0,69.0,,41.0,7.0,126.0,8.0,58.0,114.0,0.1,2.26,0.27,4.43,26.96,1.29,15.37,1.45,0.78,3.0,0.65,5.04,,1.38,0.75,22.89,0.42,8.12,4.82,43221.0
18095,Madison,34031,2342,1526072,,60.0,,1784.0,4631.0,1124.0,4569.0,2901.0,254.0,832.0,243.0,740.0,236.0,1820.0,1249.0,6793.0,1054.0,4058.0,1658.0,,3.0,,229.0,104.0,66.0,345.0,84.0,32.0,143.0,91.0,178.0,6.0,146.0,31.0,308.0,43.0,230.0,299.0,,0.18,,5.24,13.61,3.3,13.43,8.52,0.75,2.44,0.71,2.17,0.69,5.35,3.67,19.96,3.1,11.92,4.87,44844.0
18099,Marshall,17662,1099,829768,89.0,,82.0,682.0,6630.0,822.0,1990.0,353.0,50.0,564.0,140.0,310.0,,591.0,475.0,2218.0,91.0,1535.0,1022.0,4.0,,5.0,118.0,138.0,60.0,163.0,32.0,12.0,69.0,29.0,65.0,,45.0,14.0,96.0,14.0,92.0,140.0,0.5,,0.46,3.86,37.54,4.65,11.27,2.0,0.28,3.19,0.79,1.76,,3.35,2.69,12.56,0.52,8.69,5.79,46980.0
18101,Martin,2227,225,114349,,,,81.0,357.0,28.0,325.0,160.0,,37.0,7.0,712.0,,34.0,,131.0,,209.0,107.0,,,,22.0,11.0,4.0,30.0,15.0,,10.0,4.0,46.0,,9.0,,15.0,,20.0,31.0,,,,3.64,16.03,1.26,14.59,7.18,,1.66,0.31,31.97,,1.53,,5.88,,9.38,4.8,51347.0
18103,Miami,6147,581,265019,3.0,14.0,45.0,317.0,1617.0,250.0,825.0,302.0,43.0,253.0,51.0,101.0,,77.0,19.0,922.0,133.0,811.0,355.0,3.0,3.0,3.0,63.0,31.0,29.0,91.0,32.0,7.0,35.0,23.0,29.0,,21.0,3.0,50.0,12.0,56.0,89.0,0.05,0.23,0.73,5.16,26.31,4.07,13.42,4.91,0.7,4.12,0.83,1.64,,1.25,0.31,15.0,2.16,13.19,5.78,43114.0
18105,Monroe,53351,3058,2666920,16.0,429.0,428.0,2309.0,9428.0,1793.0,6128.0,812.0,1011.0,2346.0,1307.0,1931.0,584.0,2537.0,532.0,10737.0,852.0,7856.0,2315.0,5.0,14.0,12.0,259.0,94.0,83.0,390.0,58.0,61.0,178.0,201.0,275.0,24.0,178.0,47.0,422.0,56.0,393.0,308.0,0.03,0.8,0.8,4.33,17.67,3.36,11.49,1.52,1.89,4.4,2.45,3.62,1.09,4.76,1.0,20.13,1.6,14.73,4.34,49988.0
18111,Newton,2098,238,92356,,,,87.0,366.0,185.0,307.0,46.0,,96.0,15.0,47.0,,71.0,,192.0,,391.0,81.0,,,,28.0,13.0,16.0,40.0,25.0,,17.0,9.0,16.0,,5.0,,12.0,,25.0,24.0,,,,4.15,17.45,8.82,14.63,2.19,,4.58,0.71,2.24,,3.38,,9.15,,18.64,3.86,44021.0
18113,Noble,15625,928,761033,6.0,,54.0,548.0,8084.0,548.0,1549.0,153.0,377.0,253.0,127.0,225.0,,420.0,122.0,1314.0,155.0,1197.0,481.0,5.0,,3.0,103.0,127.0,39.0,133.0,40.0,11.0,47.0,36.0,51.0,,46.0,7.0,82.0,9.0,73.0,113.0,0.04,,0.35,3.51,51.74,3.51,9.91,0.98,2.41,1.62,0.81,1.44,,2.69,0.78,8.41,0.99,7.66,3.08,48706.0
18117,Orange,7328,391,369133,,,161.0,2389.0,1582.0,158.0,646.0,107.0,25.0,83.0,30.0,79.0,,72.0,36.0,805.0,142.0,667.0,200.0,,,3.0,42.0,21.0,10.0,61.0,25.0,7.0,22.0,14.0,20.0,,14.0,3.0,45.0,7.0,43.0,50.0,,,2.2,32.6,21.59,2.16,8.82,1.46,0.34,1.13,0.41,1.08,,0.98,0.49,10.99,1.94,9.1,2.73,50373.0
18121,Parke,2165,288,87554,,,,174.0,304.0,177.0,392.0,62.0,31.0,39.0,21.0,122.0,,161.0,11.0,178.0,10.0,297.0,135.0,,,,27.0,15.0,14.0,48.0,17.0,5.0,12.0,10.0,10.0,,22.0,4.0,18.0,6.0,28.0,45.0,,,,8.04,14.04,8.18,18.11,2.86,1.43,1.8,0.97,5.64,,7.44,0.51,8.22,0.46,13.72,6.24,40441.0
18123,Perry,5047,355,244535,8.0,,54.0,208.0,1845.0,57.0,689.0,82.0,14.0,95.0,67.0,103.0,,187.0,16.0,914.0,27.0,500.0,132.0,3.0,,4.0,34.0,22.0,7.0,61.0,15.0,4.0,23.0,14.0,20.0,,12.0,4.0,45.0,4.0,44.0,36.0,0.16,,1.07,4.12,36.56,1.13,13.65,1.62,0.28,1.88,1.33,2.04,,3.71,0.32,18.11,0.53,9.91,2.62,48452.0
18125,Pike,2018,201,111187,,37.0,,78.0,152.0,72.0,244.0,279.0,,28.0,61.0,63.0,,142.0,,294.0,10.0,108.0,120.0,,5.0,,18.0,7.0,4.0,28.0,13.0,,8.0,9.0,9.0,,16.0,,19.0,3.0,11.0,44.0,,1.83,,3.87,7.53,3.57,12.09,13.83,,1.39,3.02,3.12,,7.04,,14.57,0.5,5.35,5.95,55098.0
18129,Posey,9624,519,668006,,26.0,,410.0,3305.0,334.0,647.0,2642.0,40.0,104.0,58.0,281.0,129.0,278.0,77.0,424.0,22.0,414.0,330.0,,5.0,,81.0,29.0,23.0,57.0,32.0,9.0,36.0,18.0,35.0,8.0,29.0,5.0,43.0,4.0,39.0,64.0,,0.27,,4.26,34.34,3.47,6.72,27.45,0.42,1.08,0.6,2.92,1.34,2.89,0.8,4.41,0.23,4.3,3.43,69410.0
18133,Putnam,11069,739,486663,8.0,78.0,74.0,542.0,2319.0,113.0,1302.0,863.0,134.0,236.0,120.0,204.0,,506.0,1160.0,1831.0,38.0,1217.0,324.0,6.0,6.0,7.0,117.0,22.0,14.0,111.0,32.0,11.0,41.0,34.0,43.0,,36.0,7.0,71.0,7.0,79.0,95.0,0.07,0.7,0.67,4.9,20.95,1.02,11.76,7.8,1.21,2.13,1.08,1.84,,4.57,10.48,16.54,0.34,10.99,2.93,43966.0
18135,Randolph,5376,489,240131,,,82.0,554.0,1528.0,120.0,638.0,135.0,22.0,98.0,32.0,153.0,,187.0,,777.0,157.0,555.0,241.0,,,4.0,55.0,43.0,13.0,67.0,31.0,5.0,20.0,19.0,37.0,,20.0,,54.0,10.0,45.0,61.0,,,1.53,10.31,28.42,2.23,11.87,2.51,0.41,1.82,0.6,2.85,,3.48,,14.45,2.92,10.32,4.48,44667.0
18137,Ripley,10657,662,574120,,34.0,91.0,454.0,1523.0,935.0,923.0,1296.0,116.0,245.0,41.0,142.0,1768.0,451.0,16.0,1334.0,143.0,709.0,431.0,,3.0,6.0,90.0,34.0,24.0,102.0,35.0,7.0,47.0,18.0,37.0,7.0,20.0,6.0,69.0,8.0,46.0,99.0,,0.32,0.85,4.26,14.29,8.77,8.66,12.16,1.09,2.3,0.38,1.33,16.59,4.23,0.15,12.52,1.34,6.65,4.04,53873.0
18139,Rush,3868,391,198046,52.0,,,210.0,604.0,658.0,443.0,301.0,31.0,85.0,29.0,162.0,,89.0,,570.0,27.0,292.0,197.0,3.0,,,42.0,26.0,26.0,52.0,30.0,5.0,22.0,14.0,31.0,,15.0,,34.0,5.0,27.0,53.0,1.34,,,5.43,15.62,17.01,11.45,7.78,0.8,2.2,0.75,4.19,,2.3,,14.74,0.7,7.55,5.09,51201.0
18143,Scott,6671,404,255555,,,,191.0,2544.0,36.0,955.0,87.0,20.0,107.0,48.0,99.0,,225.0,46.0,1226.0,37.0,749.0,222.0,,,,34.0,20.0,10.0,81.0,18.0,5.0,25.0,18.0,14.0,,23.0,3.0,59.0,7.0,38.0,45.0,,,,2.86,38.14,0.54,14.32,1.3,0.3,1.6,0.72,1.48,,3.37,0.69,18.38,0.55,11.23,3.33,38308.0
18145,Shelby,15305,950,844427,,52.0,44.0,1018.0,4364.0,442.0,1535.0,419.0,73.0,169.0,150.0,260.0,261.0,966.0,,2628.0,776.0,1459.0,655.0,,4.0,5.0,118.0,70.0,38.0,124.0,48.0,16.0,51.0,43.0,60.0,4.0,58.0,,96.0,14.0,84.0,113.0,,0.34,0.29,6.65,28.51,2.89,10.03,2.74,0.48,1.1,0.98,1.7,1.71,6.31,,17.17,5.07,9.53,4.28,55173.0
18147,Spencer,5041,418,264298,6.0,,190.0,268.0,1560.0,214.0,706.0,341.0,62.0,148.0,55.0,97.0,,93.0,,315.0,326.0,259.0,385.0,3.0,,7.0,50.0,20.0,19.0,70.0,30.0,4.0,33.0,15.0,28.0,,13.0,,31.0,6.0,34.0,50.0,0.12,,3.77,5.32,30.95,4.25,14.01,6.76,1.23,2.94,1.09,1.92,,1.84,,6.25,6.47,5.14,7.64,52430.0
18151,Steuben,13801,967,601252,,14.0,,355.0,4623.0,463.0,2067.0,495.0,108.0,190.0,106.0,216.0,15.0,529.0,972.0,1409.0,100.0,1397.0,640.0,,5.0,,95.0,87.0,45.0,155.0,38.0,13.0,47.0,45.0,64.0,4.0,51.0,8.0,82.0,15.0,93.0,116.0,,0.1,,2.57,33.5,3.35,14.98,3.59,0.78,1.38,0.77,1.57,0.11,3.83,7.04,10.21,0.72,10.12,4.64,43566.0
18157,Tippecanoe,71528,3754,3546465,43.0,27.0,78.0,3141.0,17449.0,1847.0,9379.0,2020.0,624.0,1694.0,1283.0,3028.0,399.0,3107.0,798.0,12775.0,552.0,9602.0,3682.0,5.0,3.0,6.0,316.0,128.0,128.0,519.0,119.0,63.0,213.0,253.0,358.0,15.0,172.0,30.0,475.0,63.0,478.0,409.0,0.06,0.04,0.11,4.39,24.39,2.58,13.11,2.82,0.87,2.37,1.79,4.23,0.56,4.34,1.12,17.86,0.77,13.42,5.15,49581.0
18161,Union,961,124,35088,,,,56.0,262.0,,254.0,33.0,,22.0,,19.0,,13.0,,75.0,,103.0,44.0,,,,14.0,7.0,,28.0,8.0,,7.0,,9.0,,5.0,,8.0,,11.0,19.0,,,,5.83,27.26,,26.43,3.43,,2.29,,1.98,,1.35,,7.8,,10.72,4.58,36512.0
