fips,county_name,total_emp,total_estab,total_payann,emp_11,emp_21,emp_22,emp_23,emp_31_33,emp_42,emp_44_45,emp_48_49,emp_51,emp_52,emp_53,emp_54,emp_55,emp_56,emp_61,emp_62,emp_71,emp_72,emp_81,estab_11,estab_21,estab_22,estab_23,estab_31_33,estab_42,estab_44_45,estab_48_49,estab_51,estab_52,estab_53,estab_54,estab_55,estab_56,estab_61,estab_62,estab_71,estab_72,estab_81,share_11,share_21,share_22,share_23,share_31_33,share_42,share_44_45,share_48_49,share_51,share_52,share_53,share_54,share_55,share_56,share_61,share_62,share_71,share_72,share_81,avg_annual_wage
18015,Carroll,4714,397,211672,,,,250.0,2319.0,112.0,415.0,123.0,15.0,102.0,33.0,81.0,,156.0,,330.0,24.0,506.0,177.0,,,,63.0,24.0,23.0,49.0,30.0,4.0,26.0,14.0,21.0,,16.0,,29.0,6.0,39.0,48.0,,,,5.3,49.19,2.38,8.8,2.61,0.32,2.16,0.7,1.72,,3.31,,7.0,0.51,10.73,3.75,44903.0
18017,Cass,12586,655,524001,,,,684.0,4301.0,391.0,1475.0,398.0,100.0,280.0,51.0,167.0,,583.0,,2767.0,35.0,859.0,422.0,,,,59.0,46.0,32.0,108.0,30.0,7.0,44.0,15.0,40.0,,30.0,,65.0,7.0,74.0,92.0,,,,5.43,34.17,3.11,11.72,3.16,0.79,2.22,0.41,1.33,,4.63,,21.98,0.28,6.83,3.35,41634.0
18045,Fountain,4125,333,194435,,,,106.0,1691.0,89.0,632.0,91.0,34.0,160.0,31.0,75.0,,50.0,,565.0,36.0,351.0,189.0,,,,27.0,24.0,14.0,62.0,14.0,6.0,25.0,11.0,20.0,,15.0,,22.0,5.0,31.0,53.0,,,,2.57,40.99,2.16,15.32,2.21,0.82,3.88,0.75,1.82,,1.21,,13.7,0.87,8.51,4.58,47136.0
18047,Franklin,4705,454,202159,,11.0,,252.0,927.0,85.0,722.0,132.0,19.0,199.0,38.0,138.0,,179.0,53.0,763.0,47.0,817.0,204.0,,3.0,,63.0,22.0,9.0,63.0,30.0,3.0,23.0,21.0,23.0,,23.0,4.0,49.0,5.0,48.0,60.0,,0.23,,5.36,19.7,1.81,15.35,2.81,0.4,4.23,0.81,2.93,,3.8,1.13,16.22,1.0,17.36,4.34,42967.0
18067,Howard,29731,1791,1347875,,,111.0,1157.0,8382.0,1101.0,4669.0,432.0,265.0,754.0,290.0,646.0,20.0,773.0,193.0,4979.0,346.0,4017.0,1578.0,,,7.0,130.0,63.0,55.0,328.0,29.0,21.0,127.0,70.0,105.0,7.0,96.0,19.0,265.0,31.0,201.0,235.0,,,0.37,3.89,28.19,3.7,15.7,1.45,0.89,2.54,0.98,2.17,0.07,2.6,0.65,16.75,1.16,13.51,5.31,45336.0
18071,Jackson,23018,988,1210114,8.0,,114.0,896.0,9352.0,772.0,2232.0,2056.0,76.0,405.0,134.0,298.0,91.0,950.0,100.0,3186.0,46.0,1569.0,726.0,5.0,,5.0,103.0,52.0,42.0,173.0,52.0,15.0,67.0,49.0,48.0,4.0,40.0,6.0,104.0,11.0,102.0,108.0,0.03,,0.5,3.89,40.63,3.35,9.7,8.93,0.33,1.76,0.58,1.29,0.4,4.13,0.43,13.84,0.2,6.82,3.15,52573.0
18077,Jefferson,11703,661,513403,,,297.0,237.0,3811.0,233.0,1459.0,208.0,37.0,194.0,91.0,200.0,106.0,466.0,768.0,1931.0,43.0,1261.0,358.0,,,9.0,38.0,44.0,22.0,114.0,15.0,7.0,43.0,30.0,35.0,4.0,29.0,8.0,94.0,6.0,77.0,84.0,,,2.54,2.03,32.56,1.99,12.47,1.78,0.32,1.66,0.78,1.71,0.91,3.98,6.56,16.5,0.37,10.78,3.06,43869.0
18081,Johnson,55429,3645,2470756,,,197.0,3889.0,5954.0,2213.0,8887.0,7217.0,356.0,1102.0,679.0,1371.0,136.0,3630.0,1029.0,8404.0,664.0,6710.0,2962.0,,,11.0,416.0,140.0,120.0,505.0,249.0,44.0,225.0,202.0,298.0,12.0,215.0,41.0,426.0,50.0,330.0,356.0,,,0.36,7.02,10.74,3.99,16.03,13.02,0.64,1.99,1.22,2.47,0.25,6.55,1.86,15.16,1.2,12.11,5.34,44575.0
18085,Kosciusko,37230,2026,2256473,6.0,,70.0,1363.0,11303.0,3738.0,3667.0,367.0,283.0,784.0,226.0,621.0,3618.0,1547.0,832.0,3986.0,246.0,2868.0,1689.0,6.0,,6.0,229.0,181.0,100.0,284.0,58.0,28.0,127.0,79.0,142.0,7.0,123.0,23.0,173.0,33.0,180.0,243.0,0.02,,0.19,3.66,30.36,10.04,9.85,0.99,0.76,2.11,0.61,1.67,9.72,4.16,2.23,10.71,0.66,7.7,4.54,60609.0
18097,Marion,535145,23994,35520736,41.0,171.0,1586.0,29305.0,40640.0,30201.0,46353.0,41461.0,13958.0,26987.0,11730.0,45440.0,18380.0,41067.0,13663.0,94558.0,8517.0,46446.0,24626.0,7.0,10.0,30.0,1873.0,749.0,1294.0,2866.0,995.0,467.0,1298.0,1555.0,2660.0,214.0,1434.0,348.0,2986.0,399.0,2360.0,2432.0,0.01,0.03,0.3,5.48,7.59,5.64,8.66,7.75,2.61,5.04,2.19,8.49,3.43,7.67,2.55,17.67,1.59,8.68,4.6,66376.0
