fips,county_name,mental_unhealthy_days,physical_unhealthy_days,pct_uninsured,primary_care_rate,mental_health_provider_rate,mental_health_provider_ratio,pct_alcohol_driving_deaths,injury_death_rate,life_expectancy,age_adjusted_death_rate,pct_frequent_mental_distress,pct_frequent_physical_distress,drug_overdose_rate,suicide_rate
18163,Vanderburgh,5.8097575925,3.9372099515,8.3846143161,77.7834,254.80684,392:1,11.764705882,104.80156651,74.624056518,504.97457621,18.0,12.0,31.62433235,20.630884254
18165,Vermillion,5.4601426799,4.1261494623,7.9653254825,58.666320000000006,129.44146,773:1,0.0,80.360846122,74.178918908,526.55802048,18.0,12.5,23.826026685,23.992628691
18167,Vigo,5.4993860927,4.0986155612,8.9543493979,83.02357,187.72521999999998,533:1,15.873015873,74.643339532,74.315698939,531.5209345,17.6,12.4,21.586785133,18.154143659
18169,Wabash,5.4770877066,3.9597178403,8.8800587397,42.18588,282.21098,354:1,20.0,91.424745202,74.333703894,499.36029711,17.7,12.1,26.999006437,11.965330069
18171,Warren,5.1522164971,3.6762912622,6.2246887656,,,,23.076923077,70.051693319,77.978218338,373.45417039,16.9,11.1,,
18173,Warrick,5.1126970085,3.3007641757,6.3147545943,153.45506,81.30705,1230:1,19.35483871,74.395811041,77.065215026,369.69709355,15.5,9.5,22.014770863,16.372316544
18175,Washington,5.4828016311,4.204313103,9.9044460928,24.90926,53.14626,1882:1,16.666666667,112.75968627,73.820903221,538.12325363,18.5,13.0,39.122239215,25.877854811
18177,Wayne,5.7727832961,4.1800931424,8.8784331727,60.1902,502.46707,199:1,17.647058824,146.25771032,72.611440809,596.90407565,18.4,12.4,77.226703278,19.936488283
18179,Wells,5.1650441204,3.6190240845,7.9561403509,46.1042,70.58408,1417:1,4.7619047619,80.951535594,76.7018016,391.40329322,16.8,11.0,23.630885567,17.744265529
18181,White,5.1033818385,3.7262033418,11.313152185,36.509679999999996,48.78445,2050:1,3.4482758621,104.75695561,75.440287883,477.01024771,16.9,11.5,27.428069887,27.705924301
18183,Whitley,5.0202941601,3.7270133925,7.3055914906,58.088879999999996,115.51679,866:1,8.0,66.236034748,77.916383782,379.84687619,16.4,10.9,14.595415094,9.3286367089
