fips,rucc_code,rucc_label,is_metro,is_rural,data_source,data_year
18139,6.0,"Nonmetro: Urban 2.5K–20K, adj",False,False,USDA ERS 2023 RUCC,2023
18141,2.0,Metro: 250K–1M,True,False,USDA ERS 2023 RUCC,2023
18143,6.0,"Nonmetro: Urban 2.5K–20K, adj",False,False,USDA ERS 2023 RUCC,2023
18145,1.0,Metro: 1M+ population,True,False,USDA ERS 2023 RUCC,2023
18147,8.0,"Nonmetro: <2.5K, adj",False,True,USDA ERS 2023 RUCC,2023
18149,8.0,"Nonmetro: <2.5K, adj",False,True,USDA ERS 2023 RUCC,2023
18151,7.0,"Nonmetro: Urban 2.5K–20K, not adj",False,True,USDA ERS 2023 RUCC,2023
18153,3.0,Metro: <250K,True,False,USDA ERS 2023 RUCC,2023
18155,8.0,"Nonmetro: <2.5K, adj",False,True,USDA ERS 2023 RUCC,2023
18157,3.0,Metro: <250K,True,False,USDA ERS 2023 RUCC,2023
18159,1.0,Metro: 1M+ population,True,False,USDA ERS 2023 RUCC,2023
18161,8.0,"Nonmetro: <2.5K, adj",False,True,USDA ERS 2023 RUCC,2023
18163,2.0,Metro: 250K–1M,True,False,USDA ERS 2023 RUCC,2023
18165,3.0,Metro: <250K,True,False,USDA ERS 2023 RUCC,2023
18167,3.0,Metro: <250K,True,False,USDA ERS 2023 RUCC,2023
18169,6.0,"Nonmetro: Urban 2.5K–20K, adj",False,False,USDA ERS 2023 RUCC,2023
18171,3.0,Metro: <250K,True,False,USDA ERS 2023 RUCC,2023
18173,2.0,Metro: 250K–1M,True,False,USDA ERS 2023 RUCC,2023
18175,1.0,Metro: 1M+ population,True,False,USDA ERS 2023 RUCC,2023
18177,5.0,"Nonmetro: Urban 20K+, not adj",False,False,USDA ERS 2023 RUCC,2023
18179,2.0,Metro: 250K–1M,True,False,USDA ERS 2023 RUCC,2023
18181,6.0,"Nonmetro: Urban 2.5K–20K, adj",False,False,USDA ERS 2023 RUCC,2023
18183,2.0,Metro: 250K–1M,True,False,USDA ERS 2023 RUCC,2023
