year,FIPS,county_name,dem_votes,rep_votes,total_dr,dem_pct,rep_pct,margin
2008,18181,White,4839,5731,10570,45.78,54.22,8.44
2012,18181,White,3637,5970,9607,37.86,62.14,24.28
2016,18181,White,2590,6893,9483,27.31,72.69,45.38
2020,18181,White,3032,7957,10989,27.59,72.41,44.82
2024,18181,White,2945,7969,10914,26.98,73.02,46.04
2000,18183,Whitley,4107,8080,12187,33.7,66.3,32.6
2004,18183,Whitley,3880,9512,13392,28.97,71.03,42.06
2008,18183,Whitley,5862,9124,14986,39.12,60.88,21.76
2012,18183,Whitley,4420,10258,14678,30.11,69.89,39.78
2016,18183,Whitley,3379,11358,14737,22.93,77.07,54.14
2020,18183,Whitley,4234,12862,17096,24.77,75.23,50.46
2024,18183,Whitley,4275,13122,17397,24.57,75.43,50.86
