fips,county_name,total_population,median_household_income,median_home_value,poverty_rate,lfp_rate,bachelors_rate,civilian_labor_force,unemployment_rate,labor_force,employment,unemployment_level,rucc_code,rucc_label,is_metro,is_rural,last_updated
18083,Knox,36148,58173,122100,13.21,63.33,11.65,18501,3.0,17848,17304,544,7.0,"Nonmetro: Urban 2.5K–20K, not adj",False,True,2026-03-08
18085,Kosciusko,80442,70945,183300,8.91,65.81,15.39,42153,3.5,40985,39558,1427,4.0,"Nonmetro: Urban 20K+, adj to metro",False,False,2026-03-08
18087,LaGrange,40364,81658,230300,5.66,63.68,7.02,18459,3.6,18948,18274,674,8.0,"Nonmetro: <2.5K, adj",False,True,2026-03-08
18091,LaPorte,112215,66854,166200,14.72,57.82,14.18,52513,3.9,51462,49477,1985,3.0,Metro: <250K,True,False,2026-03-08
18089,Lake,497682,66375,195100,14.72,61.49,16.24,243424,5.1,236268,224288,11980,1.0,Metro: 1M+ population,True,False,2026-03-08
18093,Lawrence,45113,64210,146700,10.71,60.12,11.15,22147,3.8,20801,20014,787,6.0,"Nonmetro: Urban 2.5K–20K, adj",False,False,2026-03-08
18095,Madison,130545,60060,135100,14.14,59.45,12.87,63029,3.6,63014,60754,2260,1.0,Metro: 1M+ population,True,False,2026-03-08
18097,Marion,971737,59504,184100,15.36,67.54,21.37,512211,3.5,502239,484893,17346,1.0,Metro: 1M+ population,True,False,2026-03-08
18099,Marshall,46208,66016,170800,10.83,61.97,12.96,22414,3.7,22462,21640,822,6.0,"Nonmetro: Urban 2.5K–20K, adj",False,False,2026-03-08
18101,Martin,9863,65489,142400,14.14,60.89,9.47,4836,3.0,5037,4885,152,9.0,"Nonmetro: <2.5K, not adj",False,True,2026-03-08
18103,Miami,35952,59551,112800,15.75,55.21,10.84,16148,3.9,15434,14838,596,6.0,"Nonmetro: Urban 2.5K–20K, adj",False,False,2026-03-08
18105,Monroe,140065,60308,240600,20.69,62.28,24.12,75034,3.0,74070,71852,2218,3.0,Metro: <250K,True,False,2026-03-08
18107,Montgomery,38018,62937,156400,12.72,63.91,13.12,19454,2.8,19655,19114,541,6.0,"Nonmetro: Urban 2.5K–20K, adj",False,False,2026-03-08
18109,Morgan,71757,79134,200600,8.5,62.82,13.59,36400,3.3,36681,35482,1199,1.0,Metro: 1M+ population,True,False,2026-03-08
18111,Newton,13829,63673,147900,12.65,59.53,10.01,6736,4.1,6665,6393,272,1.0,Metro: 1M+ population,True,False,2026-03-08
18113,Noble,47431,70286,168100,7.25,63.78,12.32,23758,3.7,22387,21549,838,6.0,"Nonmetro: Urban 2.5K–20K, adj",False,False,2026-03-08
18115,Ohio,5974,66333,189600,10.02,58.88,11.13,2880,3.4,2952,2852,100,1.0,Metro: 1M+ population,True,False,2026-03-08
18117,Orange,19768,60775,125100,14.7,60.96,9.31,9662,3.1,9382,9091,291,8.0,"Nonmetro: <2.5K, adj",False,True,2026-03-08
18119,Owen,21361,57947,151400,12.3,60.18,10.67,10526,3.4,10612,10252,360,3.0,Metro: <250K,True,False,2026-03-08
18121,Parke,16327,63393,121500,15.55,51.55,8.95,6764,3.6,6893,6648,245,8.0,"Nonmetro: <2.5K, adj",False,True,2026-03-08
18123,Perry,19186,58936,136700,12.11,57.07,11.28,8925,3.2,8638,8359,279,7.0,"Nonmetro: Urban 2.5K–20K, not adj",False,True,2026-03-08
18125,Pike,12227,64182,127000,10.98,58.0,9.28,5780,3.5,5454,5261,193,8.0,"Nonmetro: <2.5K, adj",False,True,2026-03-08
18127,Porter,173355,82915,242300,9.31,62.13,18.56,87353,3.8,86871,83559,3312,1.0,Metro: 1M+ population,True,False,2026-03-08
18129,Posey,25226,75594,200900,10.01,62.2,16.86,12668,3.0,12267,11905,362,2.0,Metro: 250K–1M,True,False,2026-03-08
18131,Pulaski,12498,56823,131500,12.76,61.86,8.84,6223,3.0,6740,6538,202,8.0,"Nonmetro: <2.5K, adj",False,True,2026-03-08
